datetime,open,high,low,close,volume
2019-01-01 22:00,0.70519,0.7052,0.70459,0.70477,26.43
2019-01-01 22:05,0.70476,0.70501,0.7046,0.7046,29.51
2019-01-01 22:10,0.7046,0.70475,0.7046,0.70467,115.25
2019-01-01 22:15,0.70468,0.70478,0.70463,0.7047,89.5
2019-01-01 22:20,0.70471,0.70504,0.70466,0.70503,36.25
2019-01-01 22:25,0.70503,0.70517,0.70498,0.70517,75.25
2019-01-01 22:30,0.70517,0.70522,0.70496,0.70509,164.9
2019-01-01 22:35,0.70509,0.70511,0.70459,0.70459,109.1
2019-01-01 22:40,0.70457,0.70502,0.70457,0.70485,140.62
